GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
LOXL2,ENSG00000134013,23296897,23425328,8,(-),lysyl oxidase like 2,,X,4,0,,,,,
ELAVL1,ENSG00000066044,7958573,8006062,19,(-),ELAV like RNA binding protein 1,,X,4,0,,,,,
ANKRD18A,ENSG00000180071,38540567,38620596,9,(-),ankyrin repeat domain 18A,,X,4,0,,,,,
RAPGEF6,ENSG00000158987,131423921,131635234,5,(-),Rap guanine nucleotide exchange factor 6,X,X,4; 18,1,,,,,
MS4A6A,ENSG00000110077,60170074,60184666,11,(-),membrane spanning 4-domains A6A,,X,4,0,,,,,
NTPCR,ENSG00000135778,232950564,232983882,1,(+),"nucleoside-triphosphatase, cancer-related",,X,4,0,,,,,
NTNG1,ENSG00000162631,107140007,107484923,1,(+),netrin G1,,X,4,0,,,,,
FBXO38-DT,ENSG00000247199,148088125,148383911,5,(-),FBXO38 divergent transcript,X,X,3; 4,1,,,,,
CPEB4,ENSG00000113742,173888349,173961980,5,(+),cytoplasmic polyadenylation element binding protein 4,,X,4,0,,,,,
DIO3,ENSG00000197406,101560139,101563452,14,(+),iodothyronine deiodinase 3,,X,4,0,,,,,
PPP1R9B,ENSG00000108819,50133737,50150703,17,(-),protein phosphatase 1 regulatory subunit 9B,,X,4,0,,,,,
CCDC175,ENSG00000151838,59504539,59576812,14,(-),coiled-coil domain containing 175,,X,4,0,,,,,
RDH13,ENSG00000160439,55039108,55071291,19,(-),retinol dehydrogenase 13,,X,4,0,,,,,
YEATS2,ENSG00000163872,183697748,183812805,3,(+),YEATS domain containing 2,,X,4,0,,,,,
RNF19B,ENSG00000116514,32929036,32964915,1,(-),ring finger protein 19B,,X,4,0,,,,,
MIR3142HG,ENSG00000253522,160438594,160600965,5,(+),MIR3142 host gene,X,X,2; 4,1,,,,,
SCARB1,ENSG00000073060,124776856,124882668,12,(-),scavenger receptor class B member 1,,X,4,0,,,,,
SALL4P1,ENSG00000250308,57422464,57424391,5,(+),spalt like transcription factor 4 pseudogene 1,,X,4,0,,,,,
CYFIP2,ENSG00000055163,157266079,157395595,5,(+),cytoplasmic FMR1 interacting protein 2,,X,4,0,,,,,
MX2,ENSG00000183486,41361957,41409417,21,(+),MX dynamin like GTPase 2,,X,4,0,,,,,
NUMB,ENSG00000133961,73274146,73466167,14,(-),NUMB endocytic adaptor protein,,X,4,0,,,,,
GLIDR,ENSG00000278175,39705825,39810128,9,(-),glioblastoma down-regulated RNA,,X,4,0,,,,,
RPL21P8,ENSG00000180662,65467807,65468341,14,(-),ribosomal protein L21 pseudogene 8,,X,4,0,,,,,
MED17,ENSG00000042429,93784227,93814963,11,(+),mediator complex subunit 17,,X,4,0,,,,,
CUL4B,ENSG00000158290,120505920,120604074,X,(-),cullin 4B,,X,4,0,,,,,
MIDEAS,ENSG00000156030,73715122,73790285,14,(-),mitotic deacetylase associated SANT domain protein,,X,4,0,,,,,
RELCH,ENSG00000134444,62187255,62310249,18,(+),"RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing",,X,4,0,,,,,
RNF141,ENSG00000110315,10511673,10541334,11,(-),ring finger protein 141,,X,4,0,,,,,
TRPM7,ENSG00000092439,50552473,50686797,15,(-),transient receptor potential cation channel subfamily M member 7,,X,4,0,,,,,
PPP6R1,ENSG00000105063,55229776,55259070,19,(-),protein phosphatase 6 regulatory subunit 1,X,X,2; 4,1,,,,,
ITPRID1,ENSG00000180347,31514090,31656504,7,(+),ITPR interacting domain containing 1,,X,4,0,,,,,
LPXN,ENSG00000110031,58526871,58578220,11,(-),leupaxin,X,X,4; 18,1,,,,,
RNF167,ENSG00000108523,4939997,4945222,17,(+),ring finger protein 167,X,X,4; 18,1,,,,,
PCGF5,ENSG00000180628,91162339,91284337,10,(+),polycomb group ring finger 5,,X,4,0,,,,,
KLF9,ENSG00000119138,70384604,70414657,9,(-),KLF transcription factor 9,,X,4,0,,,,,
KCNJ6,ENSG00000157542,37607373,38121345,21,(-),potassium inwardly rectifying channel subfamily J member 6,,X,4,0,,,,,
IGSF8,ENSG00000162729,160091340,160101109,1,(-),immunoglobulin superfamily member 8,,X,4,0,,,,,
ZFP36L2,ENSG00000152518,43222402,43226606,2,(-),ZFP36 ring finger protein like 2,X,X,4; 18,1,,,,,
GMPS,ENSG00000163655,155870591,155944020,3,(+),guanine monophosphate synthase,X,X,4; 18,1,,,,,
AP1B1,ENSG00000100280,29327680,29388612,22,(-),adaptor related protein complex 1 subunit beta 1,,X,4,0,,,,,
GOSR1,ENSG00000108587,30477362,30527592,17,(+),golgi SNAP receptor complex member 1,,X,4,0,,,,,
NFXL1,ENSG00000170448,47847233,47914667,4,(-),"nuclear transcription factor, X-box binding like 1",,X,4,0,,,,,
TALAM1,ENSG00000289740,65499045,65507432,11,(-),"TALAM1 transcript, MALAT1 antisense RNA",,X,4,0,,,,,
ARHGAP30,ENSG00000186517,161046946,161069970,1,(-),Rho GTPase activating protein 30,X,X,4; 18,1,,,,,
MEF2D,ENSG00000116604,156463727,156501266,1,(-),myocyte enhancer factor 2D,,X,4,0,,,,,
APPAT,ENSG00000230606,97416165,97433527,2,(-),NA,,X,4,0,,,,,
GNAI2,ENSG00000114353,50226292,50259362,3,(+),G protein subunit alpha i2,X,X,4; 18,1,,,,,
MXRA7,ENSG00000182534,76672551,76711004,17,(-),matrix remodeling associated 7,X,X,4; 18,1,,,,,
LEPROT,ENSG00000213625,65420587,65436007,1,(+),leptin receptor overlapping transcript,,X,4,0,,,,,
TMX1,ENSG00000139921,51240162,51257655,14,(+),thioredoxin related transmembrane protein 1,X,X,4; 18,1,,,,,
CDV3,ENSG00000091527,133573686,133590261,3,(+),CDV3 homolog,,X,4,0,,,,,
EIF4G3,ENSG00000075151,20806292,21177285,1,(-),eukaryotic translation initiation factor 4 gamma 3,,X,4,0,,,,,
CCNL1,ENSG00000163660,157146508,157160760,3,(-),cyclin L1,,X,4,0,,,,,
ARFGEF2,ENSG00000124198,48921711,49036693,20,(+),ARF guanine nucleotide exchange factor 2,,X,4,0,,,,,
RPS6P21,ENSG00000243499,131667492,131668246,12,(+),ribosomal protein S6 pseudogene 21,,X,4,0,,,,,
AKR7A2,ENSG00000053371,19301991,19312144,1,(-),aldo-keto reductase family 7 member A2,,X,4,0,,,,,
ZNF818P,ENSG00000269001,53204016,53214522,19,(+),"zinc finger protein 818, pseudogene",,X,4,0,,,,,
TXNIP,ENSG00000265972,145992435,145996580,1,(-),thioredoxin interacting protein,X,X,4; 18,1,,,,,
LINC00324,ENSG00000178977,8220616,8224079,17,(-),long intergenic non-protein coding RNA 324,,X,4,0,,,,,
IFT80,ENSG00000068885,160256986,160400357,3,(-),intraflagellar transport 80,,X,4,0,,,,,
HYOU1,ENSG00000149428,119044185,119057252,11,(-),hypoxia up-regulated 1,,X,4,0,,,,,
BTBD1,ENSG00000064726,83016423,83067281,15,(-),BTB domain containing 1,,X,4,0,,,,,
RDX,ENSG00000137710,109864295,110296712,11,(-),radixin,X,X,3; 4,1,,,,,
GLB1,ENSG00000170266,32996609,33097202,3,(-),galactosidase beta 1,X,X,3; 4,1,,,,,
MFSD14A,ENSG00000156875,100038076,100083945,1,(+),major facilitator superfamily domain containing 14A,,X,4,0,,,,,
GIGYF2,ENSG00000204120,232697259,232860605,2,(+),GRB10 interacting GYF protein 2,,X,4,0,,,,,
VPS13C,ENSG00000129003,61852389,62060473,15,(-),vacuolar protein sorting 13 homolog C,,X,4,0,,,,,
RPS25,ENSG00000118181,119015508,119018724,11,(-),ribosomal protein S25,X,X,4; 5; 18,1,,,,,
WAC,ENSG00000095787,28532493,28623112,10,(+),WW domain containing adaptor with coiled-coil,,X,4,0,,,,,
RFTN1,ENSG00000131378,16313574,16514026,3,(-),"raftlin, lipid raft linker 1",X,X,4; 18,1,,,,,
ERGIC3,ENSG00000125991,35542024,35557634,20,(+),ERGIC and golgi 3,,X,4,0,,,,,
RN7SL685P,ENSG00000242315,100957883,100958180,8,(+),"RNA, 7SL, cytoplasmic 685, pseudogene",,X,4,0,,,,,
PPP1R8,ENSG00000117751,27830782,27851676,1,(+),protein phosphatase 1 regulatory subunit 8,,X,4,0,,,,,
SRM,ENSG00000116649,11054584,11060053,1,(-),spermidine synthase,,X,4,0,,,,,
SIRT3,ENSG00000142082,215028,236931,11,(-),sirtuin 3,,X,4,0,,,,,
TBCE,ENSG00000284770,235367360,235452443,1,(+),tubulin folding cofactor E,,X,4,0,,,,,
PDE7A,ENSG00000205268,65714334,65842529,8,(-),phosphodiesterase 7A,X,X,4; 18,1,,,,,
CRELD2,ENSG00000184164,49917989,49927544,22,(+),cysteine rich with EGF like domains 2,,X,4,0,,,,,
MS4A2,ENSG00000149534,60088261,60098467,11,(+),membrane spanning 4-domains A2,,X,4,0,,,,,
DTL,ENSG00000143476,212035553,212107400,1,(+),denticleless E3 ubiquitin protein ligase homolog,X,X,4; 18,1,,,,,
ANAPC2,ENSG00000176248,137174784,137189028,9,(-),anaphase promoting complex subunit 2,,X,4,0,,,,,
MED13,ENSG00000108510,61942605,62065278,17,(-),mediator complex subunit 13,,X,4; 5,0,,,,,
TOMM7,ENSG00000196683,22812628,22822849,7,(-),translocase of outer mitochondrial membrane 7,X,X,4; 5; 18,1,,,,,
LCOR,ENSG00000196233,96831803,96995956,10,(+),ligand dependent nuclear receptor corepressor,,X,4; 5,0,,,,,
RXRA,ENSG00000186350,134317098,134440585,9,(+),retinoid X receptor alpha,,X,4,0,,,,,
KCNA7,ENSG00000104848,49067397,49072699,19,(-),potassium voltage-gated channel subfamily A member 7,,X,4,0,,,,,
KDM4B,ENSG00000127663,4969107,5153611,19,(+),lysine demethylase 4B,,X,4,0,,,,,
TGFBI,ENSG00000120708,136028988,136063818,5,(+),transforming growth factor beta induced,X,X,3; 4,1,,,,,
BEND3,ENSG00000178409,107065138,107116234,6,(-),BEN domain containing 3,,X,4,0,,,,,
ATP8B2,ENSG00000143515,154325520,154351307,1,(+),ATPase phospholipid transporting 8B2,,X,4,0,,,,,
RAB1B,ENSG00000174903,66268590,66277492,11,(+),"RAB1B, member RAS oncogene family",X,X,4; 18,1,,,,,
ACADVL,ENSG00000072778,7217125,7225269,17,(+),acyl-CoA dehydrogenase very long chain,,X,4,0,,,,,
GPSM2,ENSG00000121957,108875350,108934545,1,(+),G protein signaling modulator 2,X,X,4; 18,1,,,,,
ERP27,ENSG00000139055,14914039,14938537,12,(-),endoplasmic reticulum protein 27,,X,4,0,,,,,
ZC3H13,ENSG00000123200,45954364,46052781,13,(-),zinc finger CCCH-type containing 13,,X,4,0,,,,,
SNX16,ENSG00000104497,81799581,81842866,8,(-),sorting nexin 16,,X,4,0,,,,,
CYTIP,ENSG00000115165,157409360,157491093,2,(-),cytohesin 1 interacting protein,,X,4,0,,,,,
FLII,ENSG00000177731,18244782,18258772,17,(-),FLII actin remodeling protein,,X,4,0,,,,,
ANXA1,ENSG00000135046,73148874,73170629,9,(+),annexin A1,X,X,4; 18,1,,,,,
RBP7,ENSG00000162444,9997054,10016021,1,(+),retinol binding protein 7,,X,4,0,,,,,
IKZF1,ENSG00000185811,50303412,50405101,7,(+),IKAROS family zinc finger 1,,X,4,0,,,,,
RN7SL711P,ENSG00000276047,123070782,123071080,5,(+),"RNA, 7SL, cytoplasmic 711, pseudogene",,X,4,0,,,,,
IGLV1-50,ENSG00000211645,22327300,22327814,22,(+),immunoglobulin lambda variable 1-50 (non-functional),,X,4,0,,,,,
SLTM,ENSG00000137776,58879049,58933991,15,(-),SAFB like transcription modulator,,X,4,0,,,,,
PPT1,ENSG00000131238,40072710,40097267,1,(-),palmitoyl-protein thioesterase 1,,X,4,0,,,,,
SGTA,ENSG00000104969,2754711,2783390,19,(-),small glutamine rich tetratricopeptide repeat co-chaperone alpha,,X,4,0,,,,,
TMSB4XP4,ENSG00000223551,128342153,128342770,9,(+),TMSB4X pseudogene 4,,X,4,0,,,,,
ATAD2,ENSG00000156802,123319850,123416350,8,(-),ATPase family AAA domain containing 2,X,X,4; 18,1,,,,,
PINK1,ENSG00000158828,20633458,20651511,1,(+),PTEN induced kinase 1,X,X,4,1,,,,,
USP49,ENSG00000164663,41789896,41895375,6,(-),ubiquitin specific peptidase 49,,X,4,0,,,,,
CTPS2,ENSG00000047230,16587950,16712976,X,(-),CTP synthase 2,,X,4,0,,,,,
FEZF2,ENSG00000153266,62369681,62374473,3,(-),FEZ family zinc finger 2,,X,4,0,,,,,
COPB1,ENSG00000129083,14443357,14500027,11,(-),COPI coat complex subunit beta 1,,X,4,0,,,,,
AGPAT5,ENSG00000155189,6708341,6761503,8,(+),1-acylglycerol-3-phosphate O-acyltransferase 5,,X,4,0,,,,,
VPS53,ENSG00000141252,508503,721717,17,(-),VPS53 subunit of GARP complex,,X,4,0,,,,,
ELFN2,ENSG00000243902,37339565,37427445,22,(-),extracellular leucine rich repeat and fibronectin type III domain containing 2,,X,4,0,,,,,
APOBEC3D,ENSG00000243811,39021113,39033277,22,(+),apolipoprotein B mRNA editing enzyme catalytic subunit 3D,,X,4,0,,,,,
RNF125,ENSG00000101695,32018174,32088144,18,(+),ring finger protein 125,,X,4,0,,,,,
CD300A,ENSG00000167851,74466399,74484798,17,(+),CD300a molecule,,X,4,0,,,,,
KIAA1109,ENSG00000138688,122152333,122362758,4,(+),KIAA1109,,X,4; 5,0,,,,,
ACTL8,ENSG00000117148,17755333,17827063,1,(+),actin like 8,,X,4,0,,,,,
MCPH1,ENSG00000147316,6406592,6648508,8,(+),microcephalin 1,,X,4,0,,,,,
TMEM140,ENSG00000146859,135148072,135166519,7,(+),transmembrane protein 140,,X,4,0,,,,,
REEP2,ENSG00000132563,138438988,138446969,5,(+),receptor accessory protein 2,,X,4,0,,,,,
NDST2,ENSG00000166507,73801910,73811963,10,(-),N-deacetylase and N-sulfotransferase 2,,X,4,0,,,,,
GPRIN3,ENSG00000185477,89236383,89307937,4,(-),GPRIN family member 3,X,X,4; 18,1,,,,,
RPL41,ENSG00000229117,56116590,56117967,12,(+),ribosomal protein L41,X,X,4; 5; 18,1,,,,,
GMIP,ENSG00000089639,19629473,19643657,19,(-),GEM interacting protein,,X,4,0,,,,,
ANKRD13A,ENSG00000076513,109999186,110039763,12,(+),ankyrin repeat domain 13A,,X,4,0,,,,,
RPS6,ENSG00000137154,19375715,19380282,9,(-),ribosomal protein S6,X,X,4; 18,1,,,,,
NCF1,ENSG00000158517,74773975,74789376,7,(+),neutrophil cytosolic factor 1,X,X,4; 18,1,,,,,
PPIP5K1,ENSG00000168781,43533462,43590228,15,(-),diphosphoinositol pentakisphosphate kinase 1,,X,4,0,,,,,
GPR157,ENSG00000180758,9100305,9129122,1,(-),G protein-coupled receptor 157,,X,4,0,,,,,
ZFAND1,ENSG00000104231,81701313,81732903,8,(-),zinc finger AN1-type containing 1,X,X,4; 13,1,,,,,
FAR2P1,ENSG00000180178,130028309,130040560,2,(-),fatty acyl-CoA reductase 2 pseudogene 1,,X,4,0,,,,,
LYN,ENSG00000254087,55879825,56014169,8,(+),"LYN proto-oncogene, Src family tyrosine kinase",X,X,2; 4,1,,,,,
LINC03006,ENSG00000290926,65647010,65773803,7,(-),long intergenic non-protein coding RNA 3006,,X,4,0,,,,,
LINC01476,ENSG00000265313,59400318,59526946,17,(-),long intergenic non-protein coding RNA 1476,,X,4,0,,,,,
ZC3H14,ENSG00000100722,88562948,88627596,14,(+),zinc finger CCCH-type containing 14,,X,4,0,,,,,
ADI1,ENSG00000182551,3497366,3519559,2,(-),acireductone dioxygenase 1,,X,4,0,,,,,
NPM1P9,ENSG00000231066,14834476,14835319,X,(-),nucleophosmin 1 pseudogene 9,,X,4,0,,,,,
SEPTIN9,ENSG00000184640,77280569,77500596,17,(+),septin 9,X,X,4; 18,1,,,,,
PSMD13,ENSG00000185627,236966,252986,11,(+),"proteasome 26S subunit, non-ATPase 13",,X,4; 5,0,,,,,
FOXL2NB,ENSG00000206262,138947217,138953990,3,(+),FOXL2 neighbor,,X,4,0,,,,,
ST7,ENSG00000004866,116952980,117230812,7,(+),suppression of tumorigenicity 7,,X,4,0,,,,,
PI4KA,ENSG00000241973,20707691,20859417,22,(-),phosphatidylinositol 4-kinase alpha,,X,4,0,,,,,
SCARNA10,ENSG00000239002,6510222,6510551,12,(+),small Cajal body-specific RNA 10,,X,4,0,,,,,
KIF13B,ENSG00000197892,29067278,29263124,8,(-),kinesin family member 13B,,X,4,0,,,,,
LSP1,ENSG00000130592,1850904,1892267,11,(+),lymphocyte specific protein 1,X,X,4; 18,1,,,,,
NBPF10,ENSG00000271425,146064711,146229000,1,(-),NBPF member 10,,X,4; 5,0,,,,,
STK11,ENSG00000118046,1177558,1228431,19,(+),serine/threonine kinase 11,X,X,2; 4,1,,,,,
RPL35,ENSG00000136942,124857873,124862017,9,(-),ribosomal protein L35,X,X,4; 5; 18,1,,,,,
DICER1-AS1,ENSG00000235706,95157645,95181475,14,(+),DICER1 antisense RNA 1,,X,4,0,,,,,
"CCNI",ENSG00000118816,77047155,77076319,4,(-),cyclin I,,X,4,0,,,,,
BRD3OS,ENSG00000235106,134025429,134034666,9,(+),BRD3 opposite strand,,X,4,0,,,,,
"ERVV-2",ENSG00000268964,53044740,53051680,19,(+),"endogenous retrovirus group V member 2, envelope",,X,4,0,,,,,
NRDC,ENSG00000078618,51787517,51878805,1,(-),nardilysin convertase,,X,4,0,,,,,
UBE2Q1,ENSG00000160714,154548550,154559028,1,(-),ubiquitin conjugating enzyme E2 Q1,,X,4,0,,,,,
FOXN2,ENSG00000170802,48314331,48379295,2,(+),forkhead box N2,,X,4,0,,,,,
"ARRDC1",ENSG00000197070,137605619,137616227,9,(+),arrestin domain containing 1,,X,4,0,,,,,
IGHG2,ENSG00000211893,105639559,105644790,14,(-),immunoglobulin heavy constant gamma 2 (G2m marker),,X,4,0,,,,,
ABLIM1,ENSG00000099204,114431110,114768061,10,(-),actin binding LIM protein 1,X,X,4; 18,1,,,,,
CEP290,ENSG00000198707,88049016,88142099,12,(-),centrosomal protein 290,,X,4,0,,,,,
PPM1F-AS1,ENSG00000224086,21938269,21977632,22,(+),PPM1F antisense RNA 1,,X,4; 6,0,,,,,
MPHOSPH8,ENSG00000196199,19633659,19673441,13,(+),M-phase phosphoprotein 8,,X,4,0,,,,,
IFI35,ENSG00000068079,43006740,43014456,17,(+),interferon induced protein 35,X,X,4; 18,1,,,,,
AKR1C1,ENSG00000187134,4963253,4983283,10,(+),aldo-keto reductase family 1 member C1,,X,4,0,,,,,
PPP4R3B,ENSG00000275052,55547292,55618880,2,(-),protein phosphatase 4 regulatory subunit 3B,,X,4,0,,,,,
"AKAP1-DT",ENSG00000263004,57071407,57085127,17,(-),AKAP1 divergent transcript,X,X,3; 4,1,,,,,
NR2C2AP,ENSG00000184162,19201409,19203729,19,(-),nuclear receptor 2C2 associated protein,X,X,4; 18,1,,,,,
CAMKK2,ENSG00000110931,121237675,121298308,12,(-),calcium/calmodulin dependent protein kinase kinase 2,,X,4,0,,,,,
RDH11,ENSG00000072042,67676800,67695793,14,(-),retinol dehydrogenase 11,,X,4,0,,,,,
TLE5,ENSG00000104964,3052909,3063107,19,(-),"TLE family member 5, transcriptional modulator",X,X,4; 18,1,,,,,
STXBP2,ENSG00000076944,7636772,7647873,19,(+),syntaxin binding protein 2,,X,4,0,,,,,
TENM2,ENSG00000145934,166979029,168264157,5,(+),teneurin transmembrane protein 2,,X,4,0,,,,,
SNHG20,ENSG00000234912,77086716,77099902,17,(+),small nucleolar RNA host gene 20,,X,4,0,,,,,
MIB1,ENSG00000101752,21704957,21870953,18,(+),MIB E3 ubiquitin protein ligase 1,,X,4,0,,,,,
STARD3NL,ENSG00000010270,38178245,38230671,7,(+),STARD3 N-terminal like,,X,4,0,,,,,
TMEM176B,ENSG00000106565,150790382,150803404,7,(-),transmembrane protein 176B,,X,4,0,,,,,
ALOX5,ENSG00000012779,45374150,45446121,10,(+),arachidonate 5-lipoxygenase,X,X,3; 4,1,,,,,
BIN2,ENSG00000110934,51281038,51324668,12,(-),bridging integrator 2,,X,4,0,,,,,
CROCCP2,ENSG00000215908,16618969,16657232,1,(-),CROCC pseudogene 2,,X,4,0,,,,,
TBL2,ENSG00000106638,73567537,73578791,7,(-),transducin beta like 2,,X,4,0,,,,,
NPIPA9,ENSG00000233024,18358086,18379331,16,(-),"nuclear pore complex interacting protein family, member A9",,X,4,0,,,,,
TMPRSS11B,ENSG00000185873,68226653,68245694,4,(-),transmembrane serine protease 11B,X,X,4,1,,,,,
RALBP1,ENSG00000017797,9474991,9538114,18,(+),ralA binding protein 1,,X,4,0,,,,,
EEF1A1P4,ENSG00000245205,19456244,19457648,12,(-),eukaryotic translation elongation factor 1 alpha 1 pseudogene 4,,X,4,0,,,,,
MPV17L,ENSG00000156968,15395754,15413271,16,(+),MPV17 mitochondrial inner membrane protein like,,X,4,0,,,,,
ROCK1,ENSG00000067900,20944612,21111813,18,(-),Rho associated coiled-coil containing protein kinase 1,X,X,4; 18,1,,,,,
MAST3,ENSG00000099308,18097749,18151692,19,(+),microtubule associated serine/threonine kinase 3,,X,4,0,,,,,
RPL18A,ENSG00000105640,17859868,17864153,19,(+),ribosomal protein L18a,X,X,4; 5; 18,1,,,,,
CAPS2,ENSG00000180881,75275979,75390950,12,(-),calcyphosine 2,X,X,4,1,,,,,
ATP2B4,ENSG00000058668,203626778,203744081,1,(+),ATPase plasma membrane Ca2+ transporting 4,X,X,4; 18,1,,,,,
GAS2L1,ENSG00000185340,29306394,29312787,22,(+),growth arrest specific 2 like 1,,X,4,0,,,,,
TSPAN33,ENSG00000158457,129144690,129169699,7,(+),tetraspanin 33,,X,4,0,,,,,
OPTN,ENSG00000123240,13099449,13140320,10,(+),optineurin,X,X,4; 18,1,,,,,
RPS29,ENSG00000213741,49570984,49599164,14,(-),ribosomal protein S29,X,X,4; 18,1,,,,,
CCAR2,ENSG00000158941,22604629,22620964,8,(+),cell cycle and apoptosis regulator 2,,X,4,0,,,,,
CCDC102A,ENSG00000135736,57511999,57537163,16,(-),coiled-coil domain containing 102A,,X,4,0,,,,,
SYNE3,ENSG00000176438,95407266,95516678,14,(-),spectrin repeat containing nuclear envelope family member 3,,X,4,0,,,,,
LINC02200,ENSG00000250358,112628279,112682077,5,(+),long intergenic non-protein coding RNA 2200,,X,4,0,,,,,
RPL8,ENSG00000161016,144789765,144792587,8,(-),ribosomal protein L8,X,X,4; 5; 18,1,,,,,
SLFN12L,ENSG00000205045,35464249,35537683,17,(-),schlafen family member 12 like,X,X,2; 4,1,,,,,
DGCR6L,ENSG00000128185,20314238,20320080,22,(-),DiGeorge syndrome critical region gene 6 like,,X,4,0,,,,,
CGGBP1,ENSG00000163320,88051944,88149885,3,(-),CGG triplet repeat binding protein 1,,X,4,0,,,,,
CPSF2,ENSG00000165934,92121512,92172145,14,(+),cleavage and polyadenylation specific factor 2,,X,4,0,,,,,
CHTF8,ENSG00000168802,69118010,69132588,16,(-),chromosome transmission fidelity factor 8,,X,4,0,,,,,
SMC1A,ENSG00000072501,53374149,53422728,X,(-),structural maintenance of chromosomes 1A,X,X,4; 18,1,,,,,
NBPF15,ENSG00000266338,144421390,144461676,1,(-),NBPF member 15,,X,4,0,,,,,
MTERF4,ENSG00000122085,241072169,241102332,2,(-),mitochondrial transcription termination factor 4,,X,4,0,,,,,
RTN4,ENSG00000115310,54972187,55112621,2,(-),reticulon 4,X,X,4; 18,1,,,,,
LINC02848,ENSG00000226581,63899881,63951510,7,(+),long intergenic non-protein coding RNA 2848,X,X,3; 4,1,,,,,
SAMD14,ENSG00000167100,50110040,50130160,17,(-),sterile alpha motif domain containing 14,,X,4,0,,,,,
RPS28,ENSG00000233927,8320900,8323567,19,(+),ribosomal protein S28,X,X,4; 5; 18,1,,,,,
HCFC1,ENSG00000172534,153946434,153972427,X,(-),host cell factor C1,,X,4,0,,,,,X
SCN10A,ENSG00000185313,38696802,38816286,3,(-),sodium voltage-gated channel alpha subunit 10,,X,4,0,,,,,
PHKA2,ENSG00000044446,18892298,18984988,X,(-),phosphorylase kinase regulatory subunit alpha 2,,X,4,0,,,,,
ARHGEF11,ENSG00000132694,156934840,157046903,1,(-),Rho guanine nucleotide exchange factor 11,,X,4,0,,,,,
GSR,ENSG00000104687,30678064,30727975,8,(-),glutathione-disulfide reductase,,X,4,0,,,,,
USP31,ENSG00000103404,23061406,23149452,16,(-),ubiquitin specific peptidase 31,,X,4,0,,,,,
MIR23AHG,ENSG00000267519,13823880,13842928,19,(-),miR-23a/27a/24-2 cluster host gene,,X,4,0,,,,,
SMIM14,ENSG00000163683,39546336,39639088,4,(-),small integral membrane protein 14,,X,4,0,,,,,
ZNF709,ENSG00000242852,12461184,12513854,19,(-),zinc finger protein 709,,X,4,0,,,,,
EEF1A1P24,ENSG00000223668,39358545,39359922,3,(+),eukaryotic translation elongation factor 1 alpha 1 pseudogene 24,X,X,3; 4,1,,,,,
USP47,ENSG00000170242,11841423,11961887,11,(+),ubiquitin specific peptidase 47,,X,4,0,,,,,
SEC24B,ENSG00000138802,109433602,109540896,4,(+),"SEC24 homolog B, COPII coat complex component",X,X,4,1,,,,,
LAMP2,ENSG00000005893,120426148,120469365,X,(-),lysosomal associated membrane protein 2,X,X,,1,,,,,
